  386 regnum          0.038% (65.6%) 
  387 plebs           0.038% (65.6%) 
  388 navo            0.038% (65.7%) 
  389 diu             0.038% (65.7%) 
  390 velut           0.037% (65.7%) 
  391 ulter           0.037% (65.8%) 
  392 pervenio        0.037% (65.8%) 
  393 cogito          0.037% (65.9%) 
  394 reddo           0.037% (65.9%) 
  395 singulus        0.037% (65.9%) 
  396 ergo            0.037% (66.0%) 
  397 thos            0.037% (66.0%) 
  398 statuo          0.037% (66.0%) 
  399 sumo            0.037% (66.1%) 
  400 romano          0.036% (66.1%) 
  401 equio           0.036% (66.2%) 
  402 sub             0.036% (66.2%) 
  403 amplus          0.036% (66.2%) 
  404 acieris         0.036% (66.3%) 
  405 etsi            0.036% (66.3%) 
  406 novus           0.036% (66.3%) 
  407 soleo           0.036% (66.4%) 
  408 exspecto        0.036% (66.4%) 
  409 exeo            0.036% (66.4%) 
  410 magistro        0.036% (66.5%) 
  411 postea          0.036% (66.5%) 
  412 omnis           0.036% (66.5%) 
  413 orator          0.036% (66.6%) 
  414 orno            0.035% (66.6%) 
  415 rogo            0.035% (66.7%) 
  416 fido            0.035% (66.7%) 
  417 libero          0.035% (66.7%) 
  418 impero          0.035% (66.8%) 
  419 pertineo        0.035% (66.8%) 
  420 ingenium        0.035% (66.8%) 
  421 nuntio          0.035% (66.9%) 
  422 impetus         0.035% (66.9%) 
  423 publicum        0.035% (66.9%) 
  424 suscipio        0.035% (67.0%) 
  425 fugio           0.035% (67.0%) 
  426 ostendo         0.035% (67.0%) 
  427 tollo           0.035% (67.1%) 
  428 praesens        0.034% (67.1%) 
  429 accido          0.034% (67.1%) 
  430 D.              0.034% (67.2%) 
  431 comitium        0.034% (67.2%) 
  432 oculus          0.034% (67.2%) 
  433 mereo           0.034% (67.3%) 
  434 qualis          0.034% (67.3%) 
  435 perficio        0.034% (67.3%) 
  436 creo            0.034% (67.4%) 
  437 advenio         0.034% (67.4%) 
  438 aperio          0.034% (67.5%) 
  439 gratus          0.034% (67.5%) 
  440 T.              0.034% (67.5%) 
  441 fama            0.034% (67.6%) 
  442 postquam        0.033% (67.6%) 
  443 exemplum        0.033% (67.6%) 
  444 subeo           0.033% (67.7%) 
  445 opinio          0.033% (67.7%) 
  446 proximus        0.033% (67.7%) 
  447 spero           0.033% (67.8%) 
  448 dubito          0.033% (67.8%) 
  449 humanus         0.033% (67.8%) 
  450 aio             0.033% (67.8%) 
  451 liber           0.033% (67.9%) 
  452 dux             0.033% (67.9%) 
  453 novo            0.033% (67.9%) 
  454 crimen          0.033% (68.0%) 
  455 inimicus        0.032% (68.0%) 
  456 contendo        0.032% (68.0%) 
  457 deduco          0.032% (68.1%) 
  458 planus          0.032% (68.1%) 
  459 verso           0.032% (68.1%) 
  460 certamen        0.032% (68.2%) 
  461 maneo           0.032% (68.2%) 
  462 caesaris        0.032% (68.2%) 
  463 evenio          0.032% (68.3%) 
  464 vehemens        0.032% (68.3%) 
  465 unde            0.032% (68.3%) 
  466 navis           0.032% (68.4%) 
  467 clarus          0.032% (68.4%) 
  468 salus           0.032% (68.4%) 
  469 conjungo        0.032% (68.5%) 
  470 sal             0.032% (68.5%) 
  471 praeda          0.031% (68.5%) 
  472 nobilis         0.031% (68.6%) 
  473 familiaris      0.031% (68.6%) 
  474 sanus           0.031% (68.6%) 
  475 discedo         0.031% (68.6%) 
  476 universus       0.031% (68.7%) 
  477 agmen           0.031% (68.7%) 
  478 pareo           0.031% (68.7%) 
  479 orior           0.031% (68.8%) 
  480 contio          0.031% (68.8%) 
  481 dimitto         0.031% (68.8%) 
  482 circo           0.031% (68.9%) 
  483 levis           0.031% (68.9%) 
  484 etenim          0.031% (68.9%) 
  485 desum           0.031% (69.0%) 
  486 ops             0.031% (69.0%) 
  487 defero          0.030% (69.0%) 
  488 praesertim      0.030% (69.0%) 
  489 romanus         0.030% (69.1%) 
  490 vix             0.030% (69.1%) 
  491 officium        0.030% (69.1%) 
  492 libet           0.030% (69.2%) 
  493 dictator        0.030% (69.2%) 
  494 proprius        0.030% (69.2%) 
  495 interfacio      0.030% (69.3%) 
  496 tot             0.030% (69.3%) 
  497 romanos         0.030% (69.3%) 
  498 tandem          0.030% (69.3%) 
  499 nescio          0.030% (69.4%) 
  500 nomino          0.030% (69.4%) 
  501 laus            0.029% (69.4%) 
  502 signum          0.029% (69.5%) 
