507	puer	0.0278	63.7	
508	oro	0.0278	63.7	
509	occido	0.0277	63.7	
510	prohibeo	0.0277	63.8	
511	triumphus	0.0277	63.8	
512	auctoritas	0.0276	63.8	
513	latus	0.0276	63.8	
514	aperio	0.0275	63.9	
515	militaris	0.0275	63.9	
516	averto	0.0275	63.9	
517	usque	0.0275	63.9	
518	rogo	0.0275	64.0	
519	periculis	0.0274	64.0	
520	statio	0.0274	64.0	
521	oratio	0.0273	64.1	
522	committo	0.0273	64.1	
523	nobilis	0.0273	64.1	
524	uictor	0.0273	64.1	
525	valles	0.0272	64.2	
526	contio	0.0272	64.2	
527	aurum	0.0272	64.2	
528	adduco	0.027	64.2	
529	periculum	0.027	64.3	
530	defendo	0.0269	64.3	
531	lego	0.0269	64.3	
532	iuppiter	0.0269	64.4	
533	exeo	0.0268	64.4	
534	scilicet	0.0268	64.4	
535	amitto	0.0267	64.4	
536	lateo	0.0267	64.5	
537	sermo	0.0267	64.5	
538	numquam	0.0266	64.5	
539	flamma	0.0266	64.5	
540	uix	0.0266	64.6	
541	negotium	0.0265	64.6	
542	advenio	0.0264	64.6	
543	perficio	0.0263	64.6	
544	velut	0.0263	64.7	
545	pectus	0.0263	64.7	
546	marcellus	0.0262	64.7	
547	insequor	0.0262	64.7	
548	desum	0.0262	64.8	
549	novus	0.0262	64.8	
550	adhuc	0.0262	64.8	
551	pervenio	0.0261	64.9	
552	library	0.0261	64.9	
553	plenus	0.0261	64.9	
554	oculis	0.0261	64.9	
555	proprius	0.0261	65.0	
556	undique	0.026	65.0	
557	tectum	0.026	65.0	
558	exter	0.026	65.0	
559	puella	0.026	65.1	
560	macedonia	0.026	65.1	
561	cornelius	0.026	65.1	
562	condio	0.026	65.1	
563	uerbum	0.026	65.2	
564	gero	0.0259	65.2	
565	impono	0.0259	65.2	
566	classics	0.0259	65.2	
567	praesum	0.0258	65.3	
568	vix	0.0258	65.3	
569	postea	0.0257	65.3	
570	medium	0.0257	65.3	
571	usus	0.0256	65.4	
572	timor	0.0255	65.4	
573	parens	0.0255	65.4	
574	specto	0.0254	65.4	
575	proficio	0.0254	65.5	
576	lacrima	0.0254	65.5	
577	nuntius	0.0252	65.5	
578	maximus	0.0251	65.5	
579	intellego	0.0251	65.6	
580	quoniam	0.025	65.6	
581	locum	0.025	65.6	
582	iudicium	0.025	65.6	
583	veto	0.025	65.7	
584	nascor	0.0249	65.7	
585	malo	0.0249	65.7	
586	concedo	0.0249	65.7	
587	malus	0.0247	65.8	
588	peruenio	0.0247	65.8	
589	sex	0.0246	65.8	
590	aeger	0.0246	65.8	
591	qual	0.0246	65.9	
592	contendo	0.0245	65.9	
593	existimo	0.0245	65.9	
594	repeto	0.0245	65.9	
595	factum	0.0244	66.0	
596	occurro	0.0244	66.0	
597	amplus	0.0244	66.0	
598	supero	0.0244	66.0	
599	ostendo	0.0242	66.1	
600	forum	0.0242	66.1	
601	oculus	0.0241	66.1	
602	appareo	0.0241	66.1	
603	numen	0.0241	66.2	
604	impedio	0.024	66.2	
605	motus	0.024	66.2	
606	doceo	0.0239	66.2	
607	manlius	0.0239	66.3	
608	memoria	0.0238	66.3	
609	vultus	0.0238	66.3	
610	postulo	0.0237	66.3	
611	tego	0.0237	66.4	
612	remitto	0.0236	66.4	
613	juvenis	0.0236	66.4	
614	defero	0.0235	66.4	
615	vulnus	0.0235	66.4	
616	priusquam	0.0235	66.5	
617	morior	0.0235	66.5	
618	praecipuus	0.0234	66.5	
619	durus	0.0234	66.5	
620	antiquus	0.0234	66.6	
621	perpetuus	0.0233	66.6	
622	munio	0.0232	66.6	
623	vox	0.0232	66.6	
624	quisquis	0.0232	66.7	
625	concilio	0.0231	66.7	
626	opprimo	0.0231	66.7	
627	misceo	0.0231	66.7	
628	taceo	0.0231	66.8	
629	permitto	0.023	66.8	
630	deficio	0.0229	66.8	
631	asia	0.0229	66.8	
632	dolor	0.0229	66.8	
633	experior	0.0229	66.9	
634	centum	0.0229	66.9	
635	iterum	0.0229	66.9	
636	obtineo	0.0228	66.9	
637	fundo	0.0228	67.0	
638	quiesco	0.0228	67.0	
639	ultra	0.0227	67.0	
640	iugum	0.0227	67.0	
641	legatio	0.0227	67.0	
642	senex	0.0227	67.1	
643	vivo	0.0226	67.1	
644	postremo	0.0225	67.1	
645	egredior	0.0225	67.1	
646	aliquot	0.0225	67.2	
647	discedo	0.0224	67.2	
648	conor	0.0224	67.2	
649	societas	0.0224	67.2	
650	alo	0.0224	67.3	
651	studium	0.0224	67.3	
652	celer	0.0224	67.3	
653	extra	0.0223	67.3	
654	verro	0.0222	67.3	
655	donec	0.0222	67.4	
656	nolo	0.022	67.4	
657	dexter	0.022	67.4	
658	nimius	0.022	67.4	
659	proficisco	0.0219	67.5	
660	fatum	0.0219	67.5	
661	lumen	0.0219	67.5	
