  328 trado           0.054% (66.7%) 
  329 incendo         0.054% (66.7%) 
  330 educo           0.054% (66.8%) 
  331 barbarus        0.054% (66.8%) 
  332 traduco         0.054% (66.9%) 
  333 praeterea       0.053% (67.0%) 
  334 terra           0.053% (67.0%) 
  335 amitto          0.053% (67.1%) 
  336 commeatus       0.053% (67.1%) 
  337 nanciscor       0.053% (67.2%) 
  338 civis           0.053% (67.2%) 
  339 pax             0.053% (67.3%) 
  340 nitor           0.052% (67.3%) 
  341 bonus           0.052% (67.4%) 
  342 finitimus       0.052% (67.4%) 
  343 porto           0.052% (67.5%) 
  344 vinco           0.051% (67.5%) 
  345 praesum         0.051% (67.6%) 
  346 opinio          0.051% (67.6%) 
  347 refero          0.051% (67.7%) 
  348 revorto         0.051% (67.7%) 
  349 valles          0.050% (67.8%) 
  350 extremus        0.050% (67.8%) 
  351 magnitudo       0.050% (67.9%) 
  352 progredior      0.050% (67.9%) 
  353 imperator       0.050% (68.0%) 
  354 tu              0.050% (68.0%) 
  355 labor           0.049% (68.1%) 
  356 affero          0.049% (68.1%) 
  357 salus           0.049% (68.2%) 
  358 expedio         0.049% (68.2%) 
  359 auctoritas      0.049% (68.3%) 
  360 nomen           0.049% (68.3%) 
  361 reduco          0.049% (68.4%) 
  362 concurro        0.049% (68.4%) 
  363 summa           0.049% (68.5%) 
  364 necessarius     0.049% (68.5%) 
  365 inopia          0.049% (68.6%) 
  366 perficio        0.049% (68.6%) 
  367 oppugno         0.049% (68.7%) 
  368 amicitia        0.049% (68.7%) 
  369 summus          0.049% (68.8%) 
  370 rego            0.048% (68.8%) 
  371 quin            0.048% (68.9%) 
  372 procedo         0.048% (68.9%) 
  373 fortuna         0.048% (69.0%) 
  374 quidam          0.048% (69.0%) 
  375 pompeio         0.048% (69.1%) 
  376 consulo         0.047% (69.1%) 
  377 sua             0.047% (69.2%) 
  378 universus       0.047% (69.2%) 
  379 beneficium      0.047% (69.2%) 
  380 Cn.             0.047% (69.3%) 
  381 undique         0.046% (69.3%) 
  382 sinister        0.046% (69.4%) 
  383 scio            0.046% (69.4%) 
  384 vereor          0.046% (69.5%) 
  385 deligo          0.046% (69.5%) 
  386 circumvenio     0.046% (69.6%) 
  387 novus           0.046% (69.6%) 
  388 administro      0.045% (69.7%) 
  389 domus           0.045% (69.7%) 
  390 moror           0.045% (69.7%) 
  391 postquam        0.045% (69.8%) 
  392 ulter           0.045% (69.8%) 
  393 audeo           0.045% (69.9%) 
  394 voluntas        0.045% (69.9%) 
  395 paene           0.045% (70.0%) 
  396 condicio        0.045% (70.0%) 
  397 frumentarius    0.045% (70.1%) 
  398 prope           0.045% (70.1%) 
  399 domitius        0.044% (70.2%) 
  400 incolumis       0.044% (70.2%) 
  401 timeo           0.044% (70.2%) 
  402 circumeo        0.044% (70.3%) 
  403 creber          0.044% (70.3%) 
  404 celeritas       0.044% (70.4%) 
  405 curio           0.044% (70.4%) 
  406 tego            0.043% (70.5%) 
  407 oppidanus       0.043% (70.5%) 
  408 diu             0.043% (70.5%) 
  409 premo           0.043% (70.6%) 
  410 iiii            0.043% (70.6%) 
  411 propius         0.043% (70.7%) 
  412 saepis          0.043% (70.7%) 
  413 etsi            0.043% (70.8%) 
  414 pons            0.043% (70.8%) 
  415 fides           0.043% (70.8%) 
  416 lego            0.043% (70.9%) 
  417 vulnus          0.043% (70.9%) 
  418 rhenum          0.043% (71.0%) 
  419 tempestas       0.042% (71.0%) 
  420 detrimentum     0.042% (71.1%) 
  421 studium         0.042% (71.1%) 
  422 u               0.042% (71.1%) 
  423 produco         0.042% (71.2%) 
  424 supero          0.042% (71.2%) 
  425 postulo         0.042% (71.3%) 
  426 eruptio         0.042% (71.3%) 
  427 quoque          0.042% (71.4%) 
  428 remitto         0.042% (71.4%) 
  429 reperio         0.041% (71.4%) 
  430 solus           0.041% (71.5%) 
  431 oppugnatio      0.041% (71.5%) 
  432 postea          0.041% (71.6%) 
  433 exspecto        0.041% (71.6%) 
